Table Names,provincia,poblacion,total,nuevas,mes,anio
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,70,9,9,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,292,30,9,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,225,22,9,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,395,31,9,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,207,7,9,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,9,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1714,33,9,2020
muertes_covid_provincias_mensual_2020.csv,Imbabura,476257,123,29,9,2020
muertes_covid_provincias_mensual_2020.csv,Loja,521154,198,38,9,2020
muertes_covid_provincias_mensual_2020.csv,Los Ríos,921763,337,14,9,2020
muertes_covid_provincias_mensual_2020.csv,Manabí,1562079,938,56,9,2020
muertes_covid_provincias_mensual_2020.csv,Morona Santiago,196535,21,2,9,2020
muertes_covid_provincias_mensual_2020.csv,Napo,133705,69,7,9,2020
muertes_covid_provincias_mensual_2020.csv,Orellana,161338,51,13,9,2020
muertes_covid_provincias_mensual_2020.csv,Pastaza,114202,52,4,9,2020
muertes_covid_provincias_mensual_2020.csv,Pichincha,3228233,1442,522,9,2020
muertes_covid_provincias_mensual_2020.csv,Santa Elena,401178,368,16,9,2020
muertes_covid_provincias_mensual_2020.csv,Sto. Domingo Tsáchilas,511151,347,23,9,2020
muertes_covid_provincias_mensual_2020.csv,Sucumbíos,230503,90,13,9,2020
muertes_covid_provincias_mensual_2020.csv,Tungurahua,590600,250,33,9,2020
muertes_covid_provincias_mensual_2020.csv,Zamora Chinchipe,120416,50,8,9,2020
muertes_covid_provincias_mensual_2020.csv,Azuay,881394,195,42,10,2020
muertes_covid_provincias_mensual_2020.csv,Bolívar,209933,66,3,10,2020
muertes_covid_provincias_mensual_2020.csv,Carchi,186869,104,14,10,2020
muertes_covid_provincias_mensual_2020.csv,Cañar,281396,82,12,10,2020
muertes_covid_provincias_mensual_2020.csv,Chimborazo,524004,313,21,10,2020
muertes_covid_provincias_mensual_2020.csv,Cotopaxi,488716,279,54,10,2020
muertes_covid_provincias_mensual_2020.csv,El Oro,715751,464,69,10,2020
muertes_covid_provincias_mensual_2020.csv,Esmeraldas,591083,216,9,10,2020
muertes_covid_provincias_mensual_2020.csv,Galápagos,33042,1,0,10,2020
muertes_covid_provincias_mensual_2020.csv,Guayas,4387434,1737,23,10,2020
