zona,region,provincia,poblacion,semana,mes,anio,primera_dosis,dosis_refuerzo,dosis_total,dosis_unica,segunda_dosis
2,amazonia,Sucumbíos,230503,23,5,2021,47633,0,62309,0,14676
5,costa,Santa Elena,401178,23,5,2021,62681,0,81281,0,18600
5,costa,Santa Elena,401178,1,1,2022,300260,18018,567078,9011,239789
9,sierra,Pichincha,3228233,14,3,2021,354346,0,424182,0,69836
3,sierra,Tungurahua,590600,9,2,2021,5697,0,6252,0,555
6,sierra,Cañar,281396,49,11,2021,552324,21446,1062160,23859,464531
4,costa,Sto. Domingo Tsáchilas,511151,36,9,2021,1014187,0,1950828,86106,850535
6,amazonia,Morona Santiago,196535,51,12,2021,742280,48100,1464920,68855,605685
5,costa,Santa Elena,401178,53,12,2021,1797044,105001,3380700,53196,1425459
6,sierra,Cañar,281396,9,2,2021,4017,0,4479,0,462
2,amazonia,Sucumbíos,230503,51,12,2021,1145396,47148,2179949,57456,929949
1,sierra,Imbabura,476257,40,10,2021,629318,0,1219550,20540,569692
3,sierra,Tungurahua,590600,10,3,2021,8465,0,9575,0,1110
6,sierra,Azuay,881394,29,7,2021,2531272,0,3467860,0,936588
2,amazonia,Orellana,161338,2,1,2022,901320,47584,1730406,35566,745936
8,costa,Guayas,4387434,34,8,2021,17322610,0,26468838,28450,9117778
4,costa,Manabí,1562079,1,1,2022,1292541,67750,2548773,50651,1137831
3,sierra,Chimborazo,524004,10,3,2021,9014,0,9829,0,815
1,sierra,Imbabura,476257,27,6,2021,449531,0,612944,0,163413
7,sierra,Loja,521154,29,7,2021,1515657,0,2116530,0,600873
2,amazonia,Pastaza,114202,49,12,2021,282316,11128,540939,21232,226263
2,amazonia,Pastaza,114202,37,9,2021,373096,0,702951,14842,315013
5,costa,Santa Elena,401178,44,10,2021,1720788,824,3128399,47241,1359546
4,costa,Manabí,1562079,50,12,2021,8837909,255739,16709035,336824,7278563
6,sierra,Cañar,281396,13,3,2021,44949,0,48667,0,3718
7,sierra,Loja,521154,1,1,2022,429460,51081,884635,5140,398954
6,sierra,Azuay,881394,50,12,2021,4907361,325990,9611306,108701,4269254
4,costa,Manabí,1562079,27,7,2021,937074,0,1274411,0,337337
2,amazonia,Sucumbíos,230503,2,1,2022,1168480,67668,2271508,60157,975203
3,sierra,Tungurahua,590600,45,10,2021,420182,2334,788874,23751,342607
3,sierra,Bolívar,209933,21,5,2021,199128,0,241806,0,42678
1,costa,Esmeraldas,591083,42,10,2021,2346801,0,4406444,132979,1926664
8,costa,Guayas,4387434,44,10,2021,20004398,8055,36889506,622541,16254512
6,amazonia,Morona Santiago,196535,22,5,2021,140649,0,193895,0,53246
2,amazonia,Napo,133705,27,6,2021,126724,0,169699,0,42975
2,amazonia,Napo,133705,28,7,2021,270087,0,348850,0,78763
6,sierra,Azuay,881394,5,1,2022,4325074,1009996,9540838,112171,4093597
6,amazonia,Morona Santiago,196535,26,6,2021,188460,0,283227,0,94767
3,sierra,Tungurahua,590600,16,4,2021,122648,0,146216,0,23568
