zona,region,provincia,poblacion,mes,anio,dosis_total,dosis_refuerzo,primera_dosis,dosis_unica,segunda_dosis
8,costa,Guayas,4387434,1,2022,187762549,8898692,94246806,2750709,81866342
8,costa,Guayas,4387434,3,2021,1674887,0,1460073,0,214814
5,costa,Santa Elena,401178,4,2021,308639,0,250708,0,57931
1,sierra,Carchi,186869,6,2021,1677062,0,1174977,0,502085
6,sierra,Azuay,881394,1,2021,6630,0,6630,0,0
1,sierra,Imbabura,476257,10,2021,19411062,6894,10172006,337198,8894964
2,amazonia,Pastaza,114202,9,2021,3071209,0,1622686,80854,1367669
7,costa,El Oro,715751,4,2021,1240721,0,1018349,0,222372
3,sierra,Tungurahua,590600,8,2021,17685933,0,11509600,85271,6091062
7,amazonia,Zamora Chinchipe,120416,9,2021,3602437,0,2009410,38270,1554757
3,sierra,Bolívar,209933,10,2021,7735088,1237,4242658,185268,3305925
5,costa,Los Ríos,921763,9,2021,27654225,0,14351453,611297,12691475
1,sierra,Imbabura,476257,9,2021,17829009,0,9231080,245527,8352402
4,costa,Sto. Domingo Tsáchilas,511151,4,2021,556944,0,473659,0,83285
2,amazonia,Napo,133705,3,2021,101491,0,91625,0,9866
5,costa,Los Ríos,921763,6,2021,4394864,0,3201918,0,1192946
1,costa,Esmeraldas,591083,11,2021,21540294,96118,11971546,686107,8786523
5,insular,Galápagos,33042,6,2021,1477961,0,862388,0,615573
4,costa,Sto. Domingo Tsáchilas,511151,5,2021,1462906,0,1145568,0,317338
4,costa,Manabí,1562079,7,2021,22241385,0,17721351,0,4520034
6,amazonia,Morona Santiago,196535,5,2021,728217,0,579863,0,148354
5,costa,Santa Elena,401178,8,2021,10070141,0,6462673,25533,3581935
3,sierra,Cotopaxi,488716,2,2021,11996,0,11539,0,457
8,costa,Guayas,4387434,10,2021,158801081,10335,85439569,2719843,70631334
4,costa,Manabí,1562079,1,2022,74316075,3422362,36656072,1526861,32710780
3,sierra,Tungurahua,590600,9,2021,21713999,0,11143759,574668,9995572
5,costa,Santa Elena,401178,10,2021,13532974,1137,7382114,198776,5950947
5,costa,Los Ríos,921763,11,2021,31918729,88215,17541219,721740,13567555
6,amazonia,Morona Santiago,196535,3,2021,102678,0,95440,0,7238
4,costa,Sto. Domingo Tsáchilas,511151,2,2021,23739,0,22100,0,1639
3,sierra,Tungurahua,590600,5,2021,2149303,0,1748332,0,400971
1,sierra,Carchi,186869,2,2021,8453,0,7932,0,521
4,costa,Manabí,1562079,2,2021,80519,0,75137,0,5382
6,amazonia,Morona Santiago,196535,4,2021,316931,0,257723,0,59208
5,insular,Galápagos,33042,8,2021,1734802,0,989421,0,745381
4,costa,Manabí,1562079,10,2021,62290854,23723,32803187,1319061,28144883
2,amazonia,Pastaza,114202,5,2021,358059,0,295096,0,62963
6,sierra,Cañar,281396,1,2021,1310,0,1310,0,0
2,amazonia,Pastaza,114202,7,2021,1332532,0,1023498,0,309034
6,sierra,Cañar,281396,7,2021,3712354,0,2795054,0,917300
3,sierra,Cotopaxi,488716,10,2021,18741727,8950,10028292,653919,8050566
4,costa,Manabí,1562079,6,2021,9832769,0,7404427,0,2428342
5,costa,Los Ríos,921763,3,2021,282364,0,257794,0,24570
2,amazonia,Orellana,161338,6,2021,792638,0,588342,0,204296
2,amazonia,Napo,133705,2,2021,6097,0,5829,0,268
