provincia,poblacion,total,nuevas,semana,anio
Esmeraldas,591083,173,4,30,2020
Galápagos,33042,1,0,30,2020
Guayas,4387434,1651,8,30,2020
Imbabura,476257,61,6,30,2020
Loja,521154,65,6,30,2020
Los Ríos,921763,314,0,30,2020
Manabí,1562079,772,41,30,2020
Morona Santiago,196535,13,0,30,2020
Napo,133705,48,0,30,2020
Orellana,161338,32,2,30,2020
Pastaza,114202,39,3,30,2020
Pichincha,3228233,672,36,30,2020
Santa Elena,401178,329,1,30,2020
Sto. Domingo Tsáchilas,511151,225,19,30,2020
Sucumbíos,230503,39,14,30,2020
Tungurahua,590600,168,11,30,2020
Zamora Chinchipe,120416,34,6,30,2020
Azuay,881394,72,1,31,2020
Bolívar,209933,51,1,31,2020
Carchi,186869,29,9,31,2020
Cañar,281396,51,3,31,2020
Chimborazo,524004,221,18,31,2020
Cotopaxi,488716,168,6,31,2020
El Oro,715751,334,9,31,2020
Esmeraldas,591083,186,13,31,2020
Galápagos,33042,1,0,31,2020
Guayas,4387434,1657,6,31,2020
Imbabura,476257,72,11,31,2020
Loja,521154,87,22,31,2020
Los Ríos,921763,316,2,31,2020
Manabí,1562079,800,28,31,2020
Morona Santiago,196535,14,1,31,2020
Napo,133705,49,1,31,2020
Orellana,161338,34,2,31,2020
Pastaza,114202,44,5,31,2020
Pichincha,3228233,729,57,31,2020
Santa Elena,401178,331,2,31,2020
Sto. Domingo Tsáchilas,511151,249,24,31,2020
Sucumbíos,230503,50,11,31,2020
Tungurahua,590600,171,3,31,2020
Zamora Chinchipe,120416,34,0,31,2020
Azuay,881394,93,21,32,2020
Bolívar,209933,53,2,32,2020
Carchi,186869,30,1,32,2020
Cañar,281396,56,5,32,2020
Chimborazo,524004,228,7,32,2020
Cotopaxi,488716,173,5,32,2020
El Oro,715751,340,6,32,2020
Esmeraldas,591083,190,4,32,2020
Galápagos,33042,1,0,32,2020
Guayas,4387434,1664,7,32,2020
Imbabura,476257,76,4,32,2020
Loja,521154,109,22,32,2020
Los Ríos,921763,319,3,32,2020
Manabí,1562079,815,15,32,2020
Morona Santiago,196535,16,2,32,2020
Napo,133705,51,2,32,2020
Orellana,161338,34,0,32,2020
Pastaza,114202,44,0,32,2020
Pichincha,3228233,772,43,32,2020
Santa Elena,401178,331,0,32,2020
Sto. Domingo Tsáchilas,511151,260,11,32,2020
Sucumbíos,230503,57,7,32,2020
Tungurahua,590600,172,1,32,2020
Zamora Chinchipe,120416,38,4,32,2020
Azuay,881394,95,2,33,2020
Bolívar,209933,53,0,33,2020
Carchi,186869,33,3,33,2020
Cañar,281396,59,3,33,2020
Chimborazo,524004,231,3,33,2020
Cotopaxi,488716,182,9,33,2020
El Oro,715751,347,7,33,2020
Esmeraldas,591083,193,3,33,2020
Galápagos,33042,1,0,33,2020
Guayas,4387434,1666,2,33,2020
Imbabura,476257,85,9,33,2020
Loja,521154,120,11,33,2020
Los Ríos,921763,321,2,33,2020
Manabí,1562079,827,12,33,2020
Morona Santiago,196535,17,1,33,2020
Napo,133705,53,2,33,2020
Orellana,161338,34,0,33,2020
Pastaza,114202,45,1,33,2020
Pichincha,3228233,803,31,33,2020
Santa Elena,401178,334,3,33,2020
Sto. Domingo Tsáchilas,511151,288,28,33,2020
Sucumbíos,230503,68,11,33,2020
Tungurahua,590600,177,5,33,2020
Zamora Chinchipe,120416,38,0,33,2020
Azuay,881394,102,7,34,2020
Bolívar,209933,54,1,34,2020
Carchi,186869,42,9,34,2020
Cañar,281396,59,0,34,2020
Chimborazo,524004,242,11,34,2020
Cotopaxi,488716,194,12,34,2020
El Oro,715751,356,9,34,2020
Esmeraldas,591083,196,3,34,2020
Galápagos,33042,1,0,34,2020
Guayas,4387434,1670,4,34,2020
Imbabura,476257,87,2,34,2020
Loja,521154,145,25,34,2020
Los Ríos,921763,321,0,34,2020
Manabí,1562079,866,39,34,2020
Morona Santiago,196535,18,1,34,2020
Napo,133705,56,3,34,2020
Orellana,161338,37,3,34,2020
Pastaza,114202,46,1,34,2020
Pichincha,3228233,884,81,34,2020
Santa Elena,401178,339,5,34,2020
Sto. Domingo Tsáchilas,511151,296,8,34,2020
Sucumbíos,230503,71,3,34,2020
Tungurahua,590600,188,11,34,2020
Zamora Chinchipe,120416,40,2,34,2020
Azuay,881394,117,15,35,2020
Bolívar,209933,56,2,35,2020
Carchi,186869,53,11,35,2020
Cañar,281396,61,2,35,2020
Chimborazo,524004,262,20,35,2020
Cotopaxi,488716,203,9,35,2020
El Oro,715751,364,8,35,2020
